ref_date,pp2_employment,pp2_births
2019-02-12,280780,0.005520336206282499
2019-03-12,295652,0.0032166195391879642
2019-04-12,308176,0.005139920045688178
2019-05-12,325323,0.005025774384227368
2019-06-12,340035,0.004699516226270825
2019-07-12,356303,0.004487753400897551
2019-08-12,371961,0.0033094867472665147
2019-09-12,384470,0.003945691471376181
2019-10-12,393893,0.0009164925500072355
2019-11-12,410254,0.002325388661658387
2019-12-12,421056,0.0026623537011703905
2020-01-12,426850,0.007948928194916247
2020-02-12,467286,0.0036744092482976164
2020-03-12,490307,0.0039750605233047865
2020-04-12,493080,0.00302993429058165
2020-05-12,394449,0.002631518903584494
2020-06-12,454271,0.0027186415157472083
2020-07-12,495210,0.004531410916580845
2020-08-12,517802,0.003837374131424753
2020-09-12,537542,0.0027272287560785946
2020-10-12,555255,0.003956740596662795
2020-11-12,581254,0.0037143830408048807
2020-12-12,594954,0.002726261189940735
2021-01-12,598659,0.00680186884353196
2021-02-12,632585,0.0037686634997668297
2021-03-12,662457,0.003209264903231455
2021-04-12,692922,0.004772542941341161
2021-05-12,726259,0.0033183754005113877
2021-06-12,755516,0.0023189449329994337
2021-07-12,787271,0.0036721789574365115
2021-08-12,817757,0.0028089028892446044
2021-09-12,833412,0.0033140871501730236
2021-10-12,849650,0.0023068322250338375
2021-11-12,874768,0.002609834836208
2021-12-12,889695,0.0015342336418660328
2022-01-12,897183,0.005260911096175474
2022-02-12,930093,0.003364179711061152
2022-03-12,967803,0.002964446276773269
2022-04-12,997420,0.0038719897335124623
2022-05-12,1031061,0.0020881402749206887
2022-06-12,1055724,0.0025622227021456366
2022-07-12,1085770,0.002495924551240134
2022-08-12,1105410,0.0023475452547018754
2022-09-12,1110339,0.0022506639864041523
2022-10-12,1115583,0.001992680060560263
2022-11-12,1126084,0.0014874556427406838
2022-12-12,1128617,0.0015106984920482324
2023-01-12,1125018,0.004279931521095662
2023-02-12,1147734,0.0026704793967940307
2023-03-12,1173341,0.0028491291108041056
2023-04-12,1194256,0.0022976648222826595
2023-05-12,1216187,0.0026056848165619266
2023-06-12,1240344,0.0022364763323723096
2023-07-12,1268359,0.002872215200901322
2023-08-12,1281551,0.0022800497210021297
2023-09-12,1288758,0.0026304395394635767
2023-10-12,1295112,0.0023658185546887064
2023-11-12,1304999,0.0016858250466092312
2023-12-12,1304779,0.001981944835102343
2024-01-12,1302246,0.0034739980003778087
2024-02-12,1330936,0.002924257815552363
2024-03-12,1363226,0.0022241359833219143
2024-04-12,1392882,0.0026972851971667376
2024-05-12,1419513,0.002661476154145823
2024-06-12,1448525,0.002250565230147909
2024-07-12,1478740,0.002492662672275045
2024-08-12,1497026,0.0023700323174079808
2024-09-12,1508445,0.0024071146114044597
2024-10-12,1518948,0.0018611565372876491
2024-11-12,1536614,0.0021885782636368012
2024-12-12,1542741,0.001287319128745525
2025-01-12,1540482,0.004175316556765999
2025-02-12,1576582,0.0028771101027412465
2025-03-12,1611922,0.002679410045895521
2025-04-12,1643317,0.0022819699425004427
2025-05-12,1681032,0.002989235184101195
2025-06-12,1723753,0.002137197150635851
2025-07-12,1754713,0.0028671355372644983
2025-08-12,1780389,0.0026067336969617314
2025-09-12,1798814,0.0018678974035114247
2025-10-12,1811014,0.0022782816698269587
2025-11-12,1847599,0.0014656860065414628
2025-12-12,1867078,0.0008323165930935933
