month_in_quarter,era,revision,n_obs,rmse,mae,mean_revision,std_revision
1,0,0,11,0.01042409274769704,0.004584716752601636,-0.00445184753472606,0.0098856987337344
1,0,1,8,0.012450017753948184,0.006278815704944485,-0.0062708317480195674,0.011498055053500128
1,0,2,5,0.010096158734399585,0.0064636358963571896,-0.0063872504307848745,0.008741814251389087
1,0,3,2,0.02012757783162517,0.02012642339795523,-0.02012642339795523,0.00030486250792529474
2,0,0,12,0.00010975354816027537,0.00008225891417801279,-0.00008116082116031247,0.0000771687344296686
2,0,1,9,0.00008223470052199034,0.00005933214580839458,-0.00005827794952849451,0.0000615386454984398
2,0,2,6,0.00007878932251973089,0.00005841530253677026,-0.000050278999562003435,0.0000664510004092841
2,0,3,3,0.00007695564982263969,0.00006150459133991149,-0.00006150459133991149,0.00005664835324705251
3,0,0,12,0.00018780149105165328,0.00017121438474202813,-0.000146336558466853,0.00012294127954124286
3,0,1,9,0.00009325462581350526,0.0000740927114697914,0.000012396111823933767,0.00009803370263931475
3,0,2,6,0.000059543410738746816,0.00004503048892316267,0.000024768024291965673,0.00005931572541991583
3,0,3,3,0.00006418624864539222,0.00004003862826825374,0.000033898093543408926,0.00006675470510709804
1,1,0,12,0.018998467477921666,0.009410921722980378,-0.008459245538791146,0.017767680508284166
1,1,1,9,0.022192989740990324,0.012246022972573675,-0.012088901259969888,0.01974045763063005
1,1,2,6,0.017676538229297743,0.012305285637040106,-0.012305285637040106,0.013901364645070455
1,1,3,3,0.02148331574578984,0.021331206115280093,-0.021331206115280093,0.0031255002241414535
2,1,0,12,0.00014399992797221054,0.00012622022763908447,-0.00011308178213953468,0.00009311863286337471
2,1,1,9,0.00005791595434100931,0.00003461627603446655,-0.00003395663602094127,0.00004976299043508728
2,1,2,6,0.000031820002016217404,0.000025313077793261602,-0.000024622681500829913,0.000022079024000732496
2,1,3,3,0.000040996327393026045,0.000039199968682623876,-0.000039199968682623876,0.00001470006709155531
3,1,0,12,0.0012205212950241967,0.0006979045398747274,-0.0006979045398747274,0.0010458236344430968
3,1,1,9,0.00027411567895948186,0.0001826389201000151,-0.0001821835860453073,0.00021723746161856172
3,1,2,6,0.00006247304862188923,0.000050356308313403986,-0.000050356308313403986,0.00004050368897507981
3,1,3,3,0.000018046184131386777,0.000016815930560317344,-5.085428441612787e-6,0.000021206243630207767
